title,url,country,doc_type,programme,sector,pub_date,collection_date,file_format
REACH UKR Map REF Kharkivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/912d8233/REACH_UKR_Map_REF_Kharkivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Luhanska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/1f664c88/REACH_UKR_Map_REF_Luhanska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Donetska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/c3477586/REACH_UKR_Map_REF_Donetska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Khersonska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/50d370e2/REACH_UKR_Map_REF_Khersonska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Zaporizka oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/3d4f1d8b/REACH_UKR_Map_REF_Zaporizka_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Dnipropetrovska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/4fcba5b5/REACH_UKR_Map_REF_Dnipropetrovska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Mykolaivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/a9888ed5/REACH_UKR_Map_REF_Mykolaivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Kirovohradska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/fb790f82/REACH_UKR_Map_REF_Kirovohradska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Cherkaska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/26cc3536/REACH_UKR_Map_REF_Cherkaska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Poltavska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/39e9ded8/REACH_UKR_Map_REF_Poltavska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
