event_id,datetime,event_type,cat_id,color_id,name,location,lat,lng,source_url,link,picture
22830106,2026-03-18T09:57:00,drone_strike,21,1,Explosion was reported in Kharkiv. Drone strike in Kholodnohirsky district,Kharkiv,50.0082,36.18553,https://t.me/kharkivlife/136406,https://liveuamap.com/en/2026/18-march-08-explosion-was-reported-in-kharkiv-drone-strike,
22830149,2026-03-18T12:54:00,fpv_drone,97,1,"A van belonging to the ""White Angels"" evacuation unit was damaged by Russian FPV drone. Mezhova, Dnipropetrovsk Oblast, Ukraine","Mezhova, Dnipropetrovsk region",48.25775,36.72712,https://x.com/99Dominik_/status/2034236994239226256,https://liveuamap.com/en/2026/18-march-11-a-van-belonging-to-the-white-angels-evacuation,
22830171,2026-03-18T14:29:00,loitering_munition,102,1,Drone is approaching Dnipro city,Dnipro,48.39857,35.24964,https://t.me/hyevuy_dnepr/96490,https://liveuamap.com/en/2026/18-march-13-drone-is-approaching-dnipro-city,https://liveuamap.com/pics/2026/03/18/22830171_0.jpeg
22830181,2026-03-18T15:19:00,airstrike_shelling,27,2,"General Staff of Armed Forces of Ukraine confirmed a strike and damage at the aviation plant ""Aviastar"" in Ulyanovsk region of Russia",Ulyanovsk,54.36447,48.60832,https://t.me/GeneralStaffZSU/36235,https://liveuamap.com/en/2026/18-march-14-general-staff-of-armed-forces-of-ukraine-confirmed-4281,https://liveuamap.com/pics/2026/03/18/22830181_0.jpg
22830180,2026-03-18T15:35:00,airstrike_shelling,27,2,General Staff of Armed Forces of Ukraine confirmed strike at the aviation repair plant in Staraya Russa of Nizhniy Novgorod region,"Novgorod Oblast, Russia",57.96883,31.37794,https://t.me/GeneralStaffZSU/36236,https://liveuamap.com/en/2026/18-march-14-general-staff-of-armed-forces-of-ukraine-confirmed,https://liveuamap.com/pics/2026/03/18/22830180_0.jpg
22830288,2026-03-18T20:26:00,loitering_munition,102,1,"Russia has attacked energy facility in the Novovolynsk community in Volyn region. A fire broke out at the site of the strike, causing serious damage.","Volyn Oblast, Ukraine",50.71001,24.18168,https://t.me/suspilnenews/64683,https://liveuamap.com/en/2026/18-march-19-russia-has-attacked-energy-facility-in-the-novovolynsk,
22830309,2026-03-18T21:12:00,loitering_munition,102,1,Explosion was reported in Lviv. A drone approached the city,Lviv,49.79261,24.10778,https://t.me/mistoleva_live/33460,https://liveuamap.com/en/2026/18-march-20-explosion-was-reported-in-lviv-a-drone-approached,
22830328,2026-03-18T22:16:00,loitering_munition,102,1,Russian drone attacked Lviv: there is destruction of the building of the Main Directorate of the regional branch of Security Service of Ukraine,"Lviv Oblast, Ukraine",49.82208,24.0251,https://t.me/ukrpravda_news/76150,https://liveuamap.com/en/2026/18-march-21-russian-drone-attacked-lviv-there-is-destruction,
22830339,2026-03-18T22:53:00,loitering_munition,102,1,About 15 strike drones are approaching Odesa,"Odesa, Odesa Oblast",46.52937,30.75005,https://x.com/war_monitor_ua/status/2034387857758900381,https://liveuamap.com/en/2026/18-march-21-about-15-strike-drones-are-approaching-odesa,
22830342,2026-03-18T22:57:00,loitering_munition,102,1,Drone hit residential house in Odesa,"Odesa Oblast, Ukraine",46.5178,30.73391,https://t.me/OdessaDumskayaNet/111340,https://liveuamap.com/en/2026/18-march-21-drone-hit-residential-house-in-odesa,https://liveuamap.com/pics/2026/03/18/22830342_0.jpeg
